classlabel,lowerclass,lowerclasslabel,broader,lowerclassbroaderlabel,upperclasslabel
OpenbareRuimteLabel,http://www.geostandaarden.nl/imgeo/def/2.1#TypeOpenbareRuimte_Administratief_gebied,Administratief gebied,,,OpenbareRuimteLabel
OpenbareRuimteLabel,http://www.geostandaarden.nl/imgeo/def/2.1#TypeOpenbareRuimte_Kunstwerk,Kunstwerk,,,OpenbareRuimteLabel
OpenbareRuimteLabel,http://www.geostandaarden.nl/imgeo/def/2.1#TypeOpenbareRuimte_Landschappelijk_gebied,Landschappelijk gebied,,,OpenbareRuimteLabel
OpenbareRuimteLabel,http://www.geostandaarden.nl/imgeo/def/2.1#TypeOpenbareRuimte_Spoorbaan,Spoorbaan,,,OpenbareRuimteLabel
OpenbareRuimteLabel,http://www.geostandaarden.nl/imgeo/def/2.1#TypeOpenbareRuimte_Terrein,Terrein,,,OpenbareRuimteLabel
OpenbareRuimteLabel,http://www.geostandaarden.nl/imgeo/def/2.1#TypeOpenbareRuimte_Water,Water,,,OpenbareRuimteLabel
OpenbareRuimteLabel,http://www.geostandaarden.nl/imgeo/def/2.1#TypeOpenbareRuimte_Weg,Weg,,,OpenbareRuimteLabel
Overbruggingsdeel,http://www.geostandaarden.nl/imgeo/def/2.1#TypeOverbrugging_aquaduct,aquaduct,,,Overbruggingsdeel
Overbruggingsdeel,http://www.geostandaarden.nl/imgeo/def/2.1#TypeOverbrugging_brug,brug,,,Overbruggingsdeel
Overbruggingsdeel,http://www.geostandaarden.nl/imgeo/def/2.1#TypeOverbrugging_ecoduct,ecoduct,,,Overbruggingsdeel
Overbruggingsdeel,http://www.geostandaarden.nl/imgeo/def/2.1#TypeOverbrugging_fly_over,fly-over,,,Overbruggingsdeel
Overbruggingsdeel,http://www.geostandaarden.nl/imgeo/def/2.1#TypeOverbrugging_viaduct,viaduct,,,Overbruggingsdeel
OverigBouwwerk,http://www.geostandaarden.nl/imgeo/def/2.1#TypeOverigBouwwerk_bassin,bassin,,,OverigBouwwerk
OverigBouwwerk,http://www.geostandaarden.nl/imgeo/def/2.1#TypeOverigBouwwerk_bezinkbak,bezinkbak,,,OverigBouwwerk
OverigBouwwerk,http://www.geostandaarden.nl/imgeo/def/2.1#TypeOverigBouwwerk_lage_trafo,lage trafo,,,OverigBouwwerk
OverigBouwwerk,http://www.geostandaarden.nl/imgeo/def/2.1#TypeOverigBouwwerk_niet_bgt,niet-bgt,,,OverigBouwwerk
OverigBouwwerk,http://www.geostandaarden.nl/imgeo/def/2.1#TypeOverigBouwwerk_open_loods,open loods,,,OverigBouwwerk
OverigBouwwerk,http://www.geostandaarden.nl/imgeo/def/2.1#TypeOverigBouwwerk_opslagtank,opslagtank,,,OverigBouwwerk
OverigBouwwerk,http://www.geostandaarden.nl/imgeo/def/2.1#TypeOverigBouwwerk_overkapping,overkapping,,,OverigBouwwerk
OverigBouwwerk,http://www.geostandaarden.nl/imgeo/def/2.1#TypeOverigBouwwerk_transitie,transitie,,,OverigBouwwerk
OverigBouwwerk,http://www.geostandaarden.nl/imgeo/def/2.1#TypeOverigBouwwerk_windturbine,windturbine,,,OverigBouwwerk
Paal,http://www.geostandaarden.nl/imgeo/def/2.1#TypePaal_niet_bgt,niet-bgt,,,Paal
Put,http://www.geostandaarden.nl/imgeo/def/2.1#TypePut_niet_bgt,niet-bgt,,,Put
Scheiding,http://www.geostandaarden.nl/imgeo/def/2.1#TypeScheiding_damwand,damwand,,,Scheiding
Scheiding,http://www.geostandaarden.nl/imgeo/def/2.1#TypeScheiding_geluidsscherm,geluidsscherm,,,Scheiding
Scheiding,http://www.geostandaarden.nl/imgeo/def/2.1#TypeScheiding_hek,hek,,,Scheiding
Scheiding,http://www.geostandaarden.nl/imgeo/def/2.1#TypeScheiding_kademuur,kademuur,,,Scheiding
Scheiding,http://www.geostandaarden.nl/imgeo/def/2.1#TypeScheiding_muur,muur,,,Scheiding
Scheiding,http://www.geostandaarden.nl/imgeo/def/2.1#TypeScheiding_niet_bgt,niet-bgt,,,Scheiding
Scheiding,http://www.geostandaarden.nl/imgeo/def/2.1#TypeScheiding_transitie,transitie,,,Scheiding
Scheiding,http://www.geostandaarden.nl/imgeo/def/2.1#TypeScheiding_walbescherming,walbescherming,,,Scheiding
Sensor,http://www.geostandaarden.nl/imgeo/def/2.1#TypeSensor_niet_bgt,niet-bgt,,,Sensor
Straatmeubilair,http://www.geostandaarden.nl/imgeo/def/2.1#TypeStraatmeubilair_niet_bgt,niet-bgt,,,Straatmeubilair
VegetatieObject,http://www.geostandaarden.nl/imgeo/def/2.1#TypeVegetatieObject_niet_bgt,niet-bgt,,,VegetatieObject
Waterdeel,http://www.geostandaarden.nl/imgeo/def/2.1#TypeWater_greppel_droge_sloot,"greppel, droge sloot",,,Waterdeel
Waterdeel,http://www.geostandaarden.nl/imgeo/def/2.1#TypeWater_transitie,transitie,,,Waterdeel
Waterdeel,http://www.geostandaarden.nl/imgeo/def/2.1#TypeWater_waterloop,waterloop,,,Waterdeel
Waterdeel,http://www.geostandaarden.nl/imgeo/def/2.1#TypeWaterPlus_beek,beek,http://www.geostandaarden.nl/imgeo/def/2.1#TypeWater_waterloop,waterloop,
Waterdeel,http://www.geostandaarden.nl/imgeo/def/2.1#TypeWaterPlus_bron,bron,http://www.geostandaarden.nl/imgeo/def/2.1#TypeWater_waterloop,waterloop,
